,CODIGO_MUNICIPIO_x,año_test,numero_muestras,positivo,negativo
324,73168.0,2021.0,257.0,0.0,257.0
325,73200.0,2021.0,21.0,3.0,18.0
326,73275.0,2021.0,694.0,48.0,636.0
327,73319.0,2021.0,117.0,2.0,115.0
328,73349.0,2021.0,137.0,1.0,136.0
329,73408.0,2021.0,565.0,10.0,555.0
330,73443.0,2021.0,1389.0,27.0,1362.0
331,73547.0,2021.0,59.0,0.0,59.0
332,73585.0,2021.0,43.0,0.0,43.0
333,73671.0,2021.0,113.0,2.0,111.0
334,73770.0,2017.0,601.0,0.0,601.0
335,73770.0,2021.0,543.0,77.0,466.0
336,76001.0,2021.0,138.0,0.0,0.0
337,76041.0,2021.0,290.0,1.0,289.0
338,76054.0,2021.0,2.0,0.0,2.0
339,76111.0,2021.0,752.0,4.0,523.0
340,76113.0,2021.0,629.0,0.0,227.0
341,76122.0,2021.0,132.0,0.0,132.0
342,76126.0,2021.0,167.0,1.0,115.0
343,76147.0,2021.0,861.0,14.0,847.0
344,76306.0,2021.0,59.0,0.0,0.0
345,76497.0,2021.0,751.0,13.0,738.0
346,76606.0,2021.0,13.0,1.0,12.0
347,76670.0,2021.0,6.0,0.0,0.0
348,76736.0,2021.0,190.0,7.0,183.0
349,76823.0,2021.0,3.0,0.0,3.0
350,76834.0,2021.0,203.0,2.0,80.0
351,76845.0,2021.0,524.0,0.0,524.0
352,76869.0,2021.0,347.0,0.0,347.0
353,76895.0,2021.0,1004.0,15.0,960.0
354,85001.0,2021.0,974.0,11.0,923.0
355,85010.0,2021.0,2.0,1.0,1.0
356,85139.0,2017.0,90.0,5.0,85.0
357,85139.0,2021.0,559.0,21.0,208.0
358,85162.0,2021.0,19.0,0.0,8.0
359,85250.0,2021.0,157.0,0.0,157.0
